commit	val_bpb	memory_gb	status	description
5fbd1bc	0.811295	2.9	keep	baseline DEPTH=8 AR=64 dim=512 50.3M params
6dacc89	0.659576	2.5	keep	shallow-wide DEPTH=4 AR=128 dim=512 29.4M params
e72b354	0.718258	3.0	discard	mid DEPTH=6 AR=96 dim=640 55.7M params
85c22f2	0.567235	2.4	keep	ultra-shallow DEPTH=2 AR=256 dim=512 18.9M params
7fec051	0.607743	2.3	discard	single-layer DEPTH=1 AR=512 dim=512 12.7M params
e3336b4	0.559544	2.4	keep	double matrix LR 0.04->0.08 DEPTH=2
1640882	0.558057	2.4	keep	matrix LR 0.12 DEPTH=2
4db828f	0.561333	2.4	discard	matrix LR 0.16 too high
8657ae9	0.528065	2.4	keep	halve batch 2^19->2^18 273 steps DEPTH=2 LR=0.12
5e51275	0.517234	2.4	keep	batch 2^17 534 steps DEPTH=2 LR=0.12
029ffad	0.522085	2.4	discard	batch 2^16 too small (noisy gradients)
caffe15	0.515065	2.4	keep	embedding LR 0.6->1.2
676de97	0.515575	2.4	discard	weight decay 0.2->0.0 (no effect)
cf62a8b	0.512449	2.4	keep	warmdown ratio 0.5->0.7
cb0661e	0.515447	2.4	discard	warmdown 0.9 too aggressive
0e0c0cb	0.516443	2.4	discard	warmup 0.05 wastes steps
e8e22df	0.505631	2.3	keep	MLP ratio 4x->3x faster steps
eb6f884	0.508870	2.3	discard	MLP 2x too small capacity
93f88d7	0.504298	2.3	keep	unembedding LR 0.004->0.008
